Title,Year,Genre,Director,Duration,IMDB,ID
Faculty,1998,Horror|Sci-Fi,Robert Rodriguez,104,6.5,310
Family Man,2000,Comedy|Drama|Fantasy,Brett Ratner,125,6.8,311
Fantastic 4,2005,Action|Adventure|Family,Tim Story,106,5.7,312
Fast And The Furious I,2001,Action|Crime|Thriller,Rob Cohen,106,6.8,313
Fast And The Furious II,2003,Action|Crime|Thriller,John Singleton,107,5.9,314
Fast And The Furious III,2006,Action|Crime|Thriller,Justin Lin,104,6.0,315
Fast And The Furious V,2011,Action|Crime|Thriller,Justin Lin,130,7.3,316
Fast And The Furious VI,2013,Action|Crime|Thriller,Justin Lin,130,7.1,317
Fast And The Furious VII,2015,Action|Crime|Thriller,James Wan,137,7.2,318
Fear And Loathing In Las Vegas   ,1998,Adventure|Comedy|Drama,Terry Gillam,118,7.6,319
Feed,2005,Crime|Horror|Thriller,Brett Leonard,101,5.3,320
Felon,2008,Crime|Drama,Ric Roman Waugh,104,7.4,321
Fight Club,1999,Drama,David Fincher,139,8.8,322
Fighter,2010,Biography|Drama|Sport,David O. Russell,116,7.8,323
Fighting,2009,Action|Crime|Drama,Dito Montiel,105,5.6,324
Final Call,2004,Action|Crime|Thriller,David R. Ellis,94,6.5,325
Final Destination,2000,Horror|Thriller,James Wong,98,6.7,326
Final Destination II,2003,Horror|Thriller,David R. Ellis,90,6.2,327
Final Destination V,2011,Horror|Thriller,Steven Quale,92,5.8,328
Final Hit,2000,Comedy|Drama,Burt Reynolds,90,4.7,329
Fireflies In The Garden,2008,Drama,Dennis Lee,120,6.5,330
Firewall,2006,Action|Crime|Thriller,Richard Loncraine,105,5.8,331
Fist Of Fury,1972,Action|Drama|Romance,Wei Lo,106,7.4,332
Flight 93,2006,Action|Crime|Drama,Peter Markle,89,6.3,333
Focus,2015,Comedy|Crime|Drama,Glenn Ficarra,105,6.6,334
Football Factory,2004,Crime|Drama|Sport,Nick Love,91,6.8,335
For Da Love Of Money,2002,Comedy,Pierre Edwards,97,4.5,336
For Queen And Country,1988,Action|Crime|Drama,Martin Stellman,105,5.6,337
Forrest Gump,1994,Drama|Romance,Robert Zemeckis,142,8.8,338
Four Brothers,2005,Action|Crime|Drama,John Singleton,109,6.8,339
Fracture,2007,Crime|Drama|Thriller,Gregory Hoblit,113,7.2,340
Fragile,2005,Horror|Mystery|Thriller,Jaume Balaguero,101,6.1,341
Framom Främsta Linjen,2004,Drama|History|War,Åke Lindman,127,6.7,342
Freaky Friday,2003,Comedy|Family|Fantasy,Mark Waters,97,6.1,343
Friday The 13th – I,1980,Horror|Mystery|Thriller,Sean S. Cunningham,95,6.5,344
Friday The 13th – II,1981,Horror|Mystery|Thriller,Steve Miner,87,6.1,345
Friday The 13th – III,1982,Horror|Mystery|Thriller,Steve Miner,95,5.7,346
